Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit
J.Ford u13.5 Rush Att,chrisgimino_,Cleveland Browns,j.ford,Cincinnati Bengals,0.0,1.0,1,1.0,1,1.0,1,32,3,52,1,Rain,Paycor,outdoors,turf,-114.0,1.0,1.8771929824561404,0.8771929824561404
D.Moore u5.5 Recs,TopShelfAction_duplicate,Carolina Panthers,d.moore,Arizona Cardinals,1.0,0.8888888888888888,1,1.0,1,0.8,1,36,0,34,0,Clear,Bank of America,outdoors,grass,115.0,0.5,1.075,0.575
T.Spears u6.5 Rush Att,ChrisRaybon,Tennessee Titans,t.spears,Indianapolis Colts,0.0,0.8,1,1.0,1,0.8,1,31,9,59,0,Mostly Cloudy,Lucas Oil,indoors,turf,-120.0,1.0,1.8333333333333333,0.8333333333333335
B.Thomas u5.5 Recs,TopShelfAction,Jacksonville Jaguars,b.thomas,Las Vegas Raiders,0.0,0.7857142857142857,1,0.3333333333333333,0,0.6,1,60,3,22,2,Mostly Cloudy,Allegiant,indoors,grass,128.0,0.5,1.14,0.6400000000000001
J.Williams o2.5 Recs,goodelleaks_duplicate,Detroit Lions,j.williams,Chicago Bears,0.0,0.75,1,1.0,1,1.0,1,31,15,66,0,Clear,Soldier Field,outdoors,grass,-128.0,2.0,3.5625,1.5625
W.Robinson o29.5 receiving yards,Rotowire Sleeper,New York Giants,w.robinson,Atlanta Falcons,0.0,0.7142857142857143,1,0.6666666666666666,1,0.8,1,44,3,46,1,Rain,Mercedes-Benz,indoors,turf,100.0,1.5,3.0,1.5
R.Davis o21.5 Rush Yds,The_Oddsmaker,Buffalo Bills,r.davis,New England Patriots,1.0,0.7142857142857143,1,0.3333333333333333,0,0.6,1,9,2,76,0,Clear,Highmark,outdoors,turf,-110.0,1.1,2.1,1.0
S.Barkley o18.5 Longest Rush,therocketplays,Philadelphia Eagles,s.barkley,Washington Commanders,0.0,0.7142857142857143,1,0.6666666666666666,1,0.8,1,29,7,39,0,Clear,FedExField,outdoors,grass,-110.0,1.1,2.1,1.0
K.Shakir o48.5 receiving yards,Rotowire Sleeper,Buffalo Bills,k.shakir,New England Patriots,1.0,0.6923076923076923,1,0.3333333333333333,0,0.6,1,12,3,69,13,Clear,Highmark,outdoors,turf,100.0,1.5,3.0,1.5
D.Swift o11.5 Rec Yds,ThePropfessor_,Chicago Bears,d.swift,Detroit Lions,1.0,0.6923076923076923,1,0.3333333333333333,0,0.6,1,31,15,66,0,Clear,Soldier Field,outdoors,grass,-115.0,1.15,2.1499999999999995,0.9999999999999996
D.Swift o11.5 Rec Yds,theprophunter0_,Chicago Bears,d.swift,Detroit Lions,1.0,0.6923076923076923,1,0.3333333333333333,0,0.6,1,30,11,63,0,Mostly Cloudy,Soldier Field,outdoors,grass,-120.0,1.2,2.2,1.0000000000000002
B.Purdy o225.5 passing yards,Rotowire Prizepicks,San Francisco 49ers,b.purdy,Miami Dolphins,0.0,0.6923076923076923,1,0.3333333333333333,0,0.4,0,72,10,59,3,Mostly Cloudy,Hard Rock,outdoors,grass,100.0,1.5,3.0,1.5
B.Purdy o225.5 passing yards,Rotowire Sleeper,San Francisco 49ers,b.purdy,Miami Dolphins,0.0,0.6923076923076923,1,0.3333333333333333,0,0.4,0,72,10,59,3,Mostly Cloudy,Hard Rock,outdoors,grass,100.0,1.5,3.0,1.5
M.Nabers o64.5 receiving yards,Rotowire Prizepicks,New York Giants,m.nabers,Atlanta Falcons,0.0,0.6666666666666666,1,1.0,1,0.6,1,44,3,46,1,Rain,Mercedes-Benz,indoors,turf,100.0,1.5,3.0,1.5
R.Johnson o3.5 Rec Yds,convince_me,Chicago Bears,r.johnson,Detroit Lions,1.0,0.6666666666666666,1,1.0,1,0.8,1,27,10,63,0,Mostly Cloudy,Soldier Field,outdoors,grass,-117.0,1.0,1.8547008547008548,0.8547008547008548
R.Johnson o3.5 Rec Yds,ChrisRaybon,Chicago Bears,r.johnson,Detroit Lions,1.0,0.6666666666666666,1,1.0,1,0.8,1,31,15,63,0,Partly Cloudy,Soldier Field,outdoors,grass,-110.0,1.0,1.9090909090909087,0.9090909090909092
C.Kmet o21.5 receiving yards,Rotowire Prizepicks,Chicago Bears,c.kmet,Detroit Lions,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6,1,30,10,66,0,Rain,Soldier Field,outdoors,grass,100.0,1.5,3.0,1.5
J.Hurts o232.5 passing + rushing yards,Rotowire Prizepicks,Philadelphia Eagles,j.hurts,Washington Commanders,0.0,0.6428571428571429,1,0.3333333333333333,0,0.4,0,31,7,37,0,Clear,FedExField,outdoors,grass,100.0,1.5,3.0,1.5
B.Robinson o14.5 Rush Att,gneiffer07_duplicate,Atlanta Falcons,b.robinson,New York Giants,1.0,0.6428571428571429,1,1.0,1,0.8,1,44,3,49,1,Clear,Mercedes-Benz,indoors,turf,-110.0,1.1,2.1,1.0
W.Robinson o33.5 receiving yards,Rotowire Prizepicks,New York Giants,w.robinson,Atlanta Falcons,0.0,0.6428571428571429,1,0.6666666666666666,1,0.8,1,44,3,49,1,Clear,Mercedes-Benz,indoors,turf,100.0,1.5,3.0,1.5
T.Tracy u49.5 Rush Yds,chrisgimino_,New York Giants,t.tracy,Atlanta Falcons,0.0,0.6428571428571429,1,1.0,1,0.8,1,44,5,40,0,Clear,Mercedes-Benz,indoors,turf,-110.0,1.0,1.9090909090909087,0.9090909090909092
E.Moore u3.5 Recs,TopShelfAction,Cleveland Browns,e.moore,Cincinnati Bengals,0.0,0.6428571428571429,1,0.6666666666666666,1,0.6,1,31,7,58,0,Clear,Paycor,outdoors,turf,100.0,0.5,1.0,0.5
J.Downs o49.5 receiving yards,Rotowire Prizepicks,Indianapolis Colts,j.downs,Tennessee Titans,1.0,0.6363636363636364,1,0.3333333333333333,0,0.6,1,30,6,55,0,Rain,Lucas Oil,indoors,turf,100.0,1.5,3.0,1.5
A.Brown o72.5 receiving yards,Trevor Knapp,Philadelphia Eagles,a.brown,Washington Commanders,0.0,0.6363636363636364,1,0.3333333333333333,0,0.4,0,30,9,39,0,Clear,FedExField,outdoors,grass,100.0,0.75,1.5,0.75
T.Patrick u2.5 Recs,Theotherbabs,Detroit Lions,t.patrick,Chicago Bears,0.0,0.5833333333333334,1,0.3333333333333333,0,0.2,0,30,11,63,0,Mostly Cloudy,Soldier Field,outdoors,grass,-115.0,1.0,1.869565217391304,0.8695652173913042
J.Jennings o52.5 receiving yards,Rotowire Prizepicks,San Francisco 49ers,j.jennings,Miami Dolphins,0.0,0.5833333333333334,1,0.6666666666666666,1,0.6,1,72,10,57,5,Mostly Cloudy,Hard Rock,outdoors,grass,100.0,1.5,3.0,1.5
H.Henry o39.5 receiving yards,Rotowire Prizepicks,New England Patriots,h.henry,Buffalo Bills,0.0,0.5714285714285714,1,0.6666666666666666,1,0.6,1,10,5,79,5,Clear,Highmark,outdoors,turf,100.0,1.5,3.0,1.5
K.Pitts o2.5 Recs,theprophunter0_,Atlanta Falcons,k.pitts,New York Giants,1.0,0.5714285714285714,1,0.3333333333333333,0,0.4,0,43,6,40,0,Clear,Mercedes-Benz,indoors,turf,-110.0,1.1,2.1,1.0
M.Wilson o25.5 receiving yards,Rotowire Prizepicks,Arizona Cardinals,m.wilson,Carolina Panthers,0.0,0.5714285714285714,1,0.6666666666666666,1,0.6,1,40,5,37,0,Clear,Bank of America,outdoors,grass,100.0,1.5,3.0,1.5
K.Bourne o17.5 receiving yards,Rotowire Prizepicks,New England Patriots,k.bourne,Buffalo Bills,0.0,0.5555555555555556,1,1.0,1,1.0,1,10,5,79,5,Clear,Highmark,outdoors,turf,100.0,1.5,3.0,1.5
R.Dowdle u71.5 rushing yards,Rohit Ponnaiya,Dallas Cowboys,r.dowdle,Tampa Bay Buccaneers,1.0,0.5384615384615384,1,0.0,0,0.4,0,57,12,54,0,Clear,AT&amp;T,indoors,turf,100.0,0.75,1.5,0.75
D.Moore o5.5 Recs,Markus_Markets_duplicate,Chicago Bears,d.moore,Detroit Lions,1.0,0.5,0,1.0,1,1.0,1,31,15,66,0,Clear,Soldier Field,outdoors,grass,102.0,1.0,2.02,1.02
J.Hurts o205.5 passing yards,Rotowire Sleeper,Philadelphia Eagles,j.hurts,Washington Commanders,0.0,0.5,0,0.3333333333333333,0,0.4,0,31,10,39,1,Clear,FedExField,outdoors,grass,100.0,1.5,3.0,1.5
C.Williams o212.5 passing yards,Rotowire Prizepicks,Chicago Bears,c.williams,Detroit Lions,1.0,0.5,0,0.3333333333333333,0,0.6,1,31,10,69,0,Partly Cloudy,Soldier Field,outdoors,grass,100.0,1.5,3.0,1.5
J.Burrow u0.5 Int,Mjaybrxd,Cincinnati Bengals,j.burrow,Cleveland Browns,1.0,0.5,0,0.3333333333333333,0,0.4,0,32,3,58,0,Clear,Paycor,outdoors,turf,-110.0,1.0,1.9090909090909087,0.9090909090909092
D.Moore o5.5 Recs,TheBMatt_duplicate,Chicago Bears,d.moore,Detroit Lions,1.0,0.5,0,1.0,1,1.0,1,29,12,72,0,Rain,Soldier Field,outdoors,grass,103.0,1.0,2.03,1.0300000000000002
J.Conner o0.5 rush_td+rec_td,CroweRadio,Arizona Cardinals,j.conner,Carolina Panthers,0.0,0.5,0,0.6666666666666666,1,0.6,1,36,0,34,0,Clear,Bank of America,outdoors,grass,120.0,0.25,0.55,0.3
D.Bellinger u21.5 Rec Yds,The_Oddsmaker,New York Giants,d.bellinger,Atlanta Falcons,0.0,0.5,0,0.3333333333333333,0,0.5,0,44,5,42,0,Clear,Mercedes-Benz,indoors,turf,-115.0,1.15,2.1499999999999995,0.9999999999999996
R.Dowdle o12.5 receiving yards,Rotowire Sleeper,Dallas Cowboys,r.dowdle,Tampa Bay Buccaneers,1.0,0.4615384615384615,0,0.0,0,0.0,0,56,12,64,1,Rain,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5
T.McLaurin u60.5 Rec Yds,sandyplashkes,Washington Commanders,t.mclaurin,Philadelphia Eagles,1.0,0.4285714285714285,0,0.0,0,0.2,0,31,7,37,0,Clear,FedExField,outdoors,grass,-114.0,1.14,2.14,0.9999999999999998
B.Bowers o61.5 receiving yards,Rotowire Prizepicks,Las Vegas Raiders,b.bowers,Jacksonville Jaguars,1.0,0.4285714285714285,0,0.3333333333333333,0,0.4,0,66,3,21,8,Rain,Allegiant,indoors,grass,100.0,1.5,3.0,1.5
T.Mclaurin u60.5 receiving yards,Trevor Knapp,Washington Commanders,t.mclaurin,Philadelphia Eagles,1.0,0.4285714285714285,0,0.0,0,0.2,0,29,6,42,0,Clear,FedExField,outdoors,grass,100.0,0.75,1.5,0.75
J.Jeudy u65.5 Rec Yds,Theotherbabs,Cleveland Browns,j.jeudy,Cincinnati Bengals,0.0,0.4285714285714285,0,0.3333333333333333,0,0.2,0,31,7,58,0,Clear,Paycor,outdoors,turf,-125.0,1.0,1.8,0.8
J.Ferguson o33.5 receiving yards,Rotowire Sleeper,Dallas Cowboys,j.ferguson,Tampa Bay Buccaneers,1.0,0.4,0,0.3333333333333333,0,0.2,0,56,12,64,1,Rain,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5
R.Dowdle o15.5 receiving yards,Rotowire Prizepicks,Dallas Cowboys,r.dowdle,Tampa Bay Buccaneers,1.0,0.3846153846153846,0,0.0,0,0.0,0,60,7,49,0,Overcast,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5
