,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,Rec_BrkTkl,Rec_Rec/Br,Rush_Att,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,X.Worthy,Kansas City Chiefs,2,0,0,0,0,0,0,0,0,23.0,0,0.0,0,0.0,39.6,-10,0,0,0,0,0,0,0,0,0,0,0.0,0,68.0,1104,Tampa Bay Buccaneers,1,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
1,N.Gray,Kansas City Chiefs,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,69.0,1104,Tampa Bay Buccaneers,1,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
2,J.Watson,Kansas City Chiefs,4,3,43,0,0,0,0,0,0,18.8,0,0.0,0,0.0,109.4,0,0,0,19,0,3,27,9.0,16,5.3,0,0.0,0,69.0,1104,Tampa Bay Buccaneers,1,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
3,D.Hopkins,Kansas City Chiefs,9,8,86,2,0,0,0,0,0,7.1,0,0.0,0,0.0,146.1,0,0,0,35,0,5,59,7.4,27,3.4,0,0.0,0,60.0,1104,Tampa Bay Buccaneers,1,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
4,T.Kelce,Kansas City Chiefs,16,14,100,0,6,65,4.6,35,2.5,5.1,0,0.0,0,0.0,92.7,0,0,0,20,1,0,0,0,0,0,0,0.0,0,84.0,1104,Tampa Bay Buccaneers,1,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
5,S.Perine,Kansas City Chiefs,5,4,25,1,2,0,0.0,25,6.3,-0.6,0,0.0,0,0.0,127.1,10,0,10,11,0,0,0,0,0,0,0,0.0,0,28.0,1104,Tampa Bay Buccaneers,1,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
6,K.Hunt,Kansas City Chiefs,1,1,11,0,1,0,0.0,11,11.0,0.0,0,0.0,0,0.0,112.5,106,1,15,11,0,0,0,0,0,0,0,0.0,0,58.0,1104,Tampa Bay Buccaneers,1,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
7,P.Mahomes,Kansas City Chiefs,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,9,0,7,0,0,0,0,0,0,0,0,0.0,0,100.0,1104,Tampa Bay Buccaneers,1,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
8,R.Miller,Tampa Bay Buccaneers,3,1,1,1,0,0,0,0,0,0.3,0,0.0,0,0.0,81.9,0,0,0,1,0,1,1,1.0,0,0.0,0,0.0,0,62.0,1104,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
9,R.Jarrett,Tampa Bay Buccaneers,1,1,9,0,0,0,0,0,0,4.0,0,0.0,0,0.0,104.2,0,0,0,9,0,0,4,4.0,5,5.0,0,0.0,0,84.0,1104,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
10,T.Palmer,Tampa Bay Buccaneers,4,2,33,0,0,0,0,0,0,13.3,0,0.0,0,0.0,78.1,0,0,0,19,0,1,23,11.5,10,5.0,0,0.0,0,49.0,1104,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
11,C.Otton,Tampa Bay Buccaneers,11,8,77,1,3,34,4.3,43,5.4,4.8,0,0.0,0,0.0,122.2,0,0,0,18,0,0,0,0,0,0,0,0.0,0,98.0,1104,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
12,R.White,Tampa Bay Buccaneers,3,3,16,0,1,-15,-5.0,31,10.3,-5.0,0,0.0,0,0.0,88.9,19,1,9,11,0,0,0,0,0,0,0,0.0,0,62.0,1104,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
13,S.Shepard,Tampa Bay Buccaneers,5,4,48,0,2,44,11.0,4,1.0,9.8,0,0.0,0,0.0,106.7,21,0,19,18,0,0,0,0,0,0,0,0.0,0,60.0,1104,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
14,B.Irving,Tampa Bay Buccaneers,3,3,10,0,0,-9,-3.0,19,6.3,-3.0,0,0.0,0,0.0,80.6,24,0,8,7,0,0,0,0,0,0,0,0.0,0,35.0,1104,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
