Unnamed: 0,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,Rec_BrkTkl,Rec_Rec/Br,Rush_Att,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0.0,M.Washington,Miami Dolphins,1,0,0,0,0,0,0.0,0,0.0,25.0,0,0.0,0,0.0,39.6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42.0,1208,New York Jets,1,Hard Rock,outdoors,grass,78,57,13,1,Mostly Cloudy
1.0,J.Hill,Miami Dolphins,1,1,14,0,0,0,0.0,0,0.0,6.0,0,0.0,0,0.0,118.7,0,0,0,14,0,1.0,6.0,6.0,8.0,8.0,0.0,0.0,0,44.0,1208,New York Jets,1,Hard Rock,outdoors,grass,78,57,13,1,Mostly Cloudy
2.0,J.Smith,Miami Dolphins,4,3,44,1,3,2,0.7,42,14.0,0.5,0,0.0,0,0.0,150.0,0,0,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1208,New York Jets,1,Hard Rock,outdoors,grass,78,57,13,1,Mostly Cloudy
3.0,J.Waddle,Miami Dolphins,12,9,99,0,6,49,5.4,50,5.6,9.4,0,0.0,0,0.0,99.0,0,0,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,82.0,1208,New York Jets,1,Hard Rock,outdoors,grass,78,57,13,1,Mostly Cloudy
4.0,T.Hill,Miami Dolphins,14,10,115,1,8,85,8.5,30,3.0,10.1,0,0.0,0,0.0,119.6,6,0,6,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,97.0,1208,New York Jets,1,Hard Rock,outdoors,grass,78,57,13,1,Mostly Cloudy
5.0,D.Achane,Miami Dolphins,7,6,45,0,2,-9,-1.5,54,9.0,-1.4,0,0.0,0,0.0,93.5,24,1,7,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,83.0,1208,New York Jets,1,Hard Rock,outdoors,grass,78,57,13,1,Mostly Cloudy
6.0,J.Ruckert,New York Jets,1,0,0,0,0,0,0.0,0,0.0,15.0,0,0.0,0,0.0,39.6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29.0,1208,Miami Dolphins,0,Hard Rock,outdoors,grass,78,57,13,1,Mostly Cloudy
7.0,A.Lazard,New York Jets,1,1,18,0,0,0,0.0,0,0.0,16.0,0,0.0,0,0.0,118.7,0,0,0,18,0,1.0,16.0,16.0,2.0,2.0,0.0,0.0,0,78.0,1208,Miami Dolphins,0,Hard Rock,outdoors,grass,78,57,13,1,Mostly Cloudy
8.0,T.Conklin,New York Jets,5,3,33,0,2,13,4.3,20,6.7,5.2,0,0.0,0,0.0,79.6,0,0,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,79.0,1208,Miami Dolphins,0,Hard Rock,outdoors,grass,78,57,13,1,Mostly Cloudy
9.0,D.Adams,New York Jets,11,9,109,1,0,0,0.0,0,0.0,6.9,0,0.0,0,0.0,138.3,0,0,0,34,0,6.0,58.0,6.4,51.0,5.7,0.0,0.0,0,85.0,1208,Miami Dolphins,0,Hard Rock,outdoors,grass,78,57,13,1,Mostly Cloudy
10.0,G.Wilson,New York Jets,10,7,114,0,4,66,9.4,48,6.9,10.6,0,0.0,0,0.0,107.9,0,0,0,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.0,1208,Miami Dolphins,0,Hard Rock,outdoors,grass,78,57,13,1,Mostly Cloudy
